類別,計費方式,設置地點,設置地址
公共充電站,免費,新興區公所,高雄市新興區中正三路34號1樓(室內停車場)
公共充電站,免費,高雄市民權停車場(機車停車場),高雄市新興區民權一路221號
公共充電站,免費,為鑫機車行,高雄市新興區民族二路126號
公共充電站,免費,億昌機車行,高雄市新興區文昌里16鄰和平一路269號
公共充電站,免費,紫銧電動車(加盟店),高雄市新興區開封路124-1號
公共充電站,免費,高雄市立大同醫院,高雄市前金區中華三路68號(機車停車場)
公共充電站,免費,練習曲單車精品館(聯宏電動車),高雄市前金區成功一路311號
公共充電站,免費,阮綜合醫院,高雄市苓雅區成功一路162號(SPA館機車停車場)
公共充電站,免費,高雄市立凱旋醫院,高雄市苓雅區凱旋二路130號(機車停車場)
公共充電站,免費,特力屋大順店,高雄市苓雅區武廟路218號(機車停車場)
公共充電站,免費,紫銧電動車總店,高雄市苓雅區武廟路131號
公共充電站,免費,家樂福購物中心-愛河店,高雄市三民區河東路356號(機車停車場)
公共充電站,免費,大樂股份有限公司,高雄市三民區民族一路463號(機車停車場)
公共充電站,免費,高雄高級中學,高雄市三民區建國三路50號(機車停車場)
公共充電站,免費,育英醫護管理專科學校,高雄市三民區大昌二路420巷15號
公共充電站,免費,躍揚車業行,高雄市三民區熱河二街20號
公共充電站,免費,勝翔電動車,高雄市三民區民族一路35號
公共充電站,投幣式,湖立方大樓,高雄市三民區文揚路95號
公共充電站,投幣式,百達翡翠大樓,高雄市三民區建興路419巷1號
公共充電站,投幣式,百達翡翠大樓,高雄市三民區建興路419巷15號
公共充電站,投幣式,百達翡翠大樓,高雄市三民區建興路419巷21號
公共充電站,投幣式,當代五合院大樓,高雄市三民區建元路9巷7號
公共充電站,投幣式,京城世界二期大廈,高雄市三民區裕誠路62號
公共充電站,投幣式,弘揚大第,高雄市三民區民族一路543巷25號
公共充電站,免費,私立高苑科技大學,高雄市路竹區中山路1821號(圖資大樓旁機車停車場)
公共充電站,免費,竹輪車業行,高雄市路竹區中正路3號
公共充電站,免費,經濟部加工出口區管理處環保站,高雄市楠梓區楠梓加工區經一路50號(東七街與經一路口)環境保護站清潔隊
公共充電站,免費,國立高雄第一科技大學,高雄市楠梓區卓越路2號(第四機車停車場D區)
公共充電站,免費,輕鬆騎電能車,高雄市楠梓區軍校路751之5號
公共充電站,免費,翠屏里活動中心,高雄市楠梓區德惠路55號
公共充電站,投幣式,仁昌里活動中心,高雄市楠梓區壽豐路461號
公共充電站,投幣式,居悅大樓,高雄市楠梓區藍昌路360巷56號
公共充電站,投幣式,佛羅里達大樓,高雄市楠梓區德民路22號
公共充電站,投幣式,加昌一期大樓,高雄市楠梓區秀群路521號
公共充電站,投幣式,交響苑大樓,高雄市楠梓區楠裕街28號
公共充電站,免費,私立東方技術學院,高雄市湖內區中山路一段301巷61號(數位教學大樓前機車停車場)
公共充電站,免費,高雄市立空中大學,高雄市小港區大業北路436號(校門外側圍牆)
公共充電站,免費,南區資源回收廠,高雄市小港區北林路6號(游泳池旁停車場)
公共充電站,免費,小港高級中學,高雄市小港區學府路117號(地下停車場)
公共充電站,免費,高雄市立小港醫院,高雄市小港區山明路482號(機車停車場)
公共充電站,免費,高鳳工家職業學校,高雄市小港區松崗路119號(汽車科實習大樓)
公共充電站,免費,力王電動車業,高雄市小港區沿海一路15號
公共充電站,免費,特力屋鳳山店,高雄市鳳山區老爺里瑞隆東路99號(機車停車場)
公共充電站,免費,鳳山高級商工職業學校,高雄市鳳山區文衡路51號(圖書館旁機車停車場)
公共充電站,免費,必翔電動車行,高雄市鳳山區經武路63號
公共充電站,免費,老爺里活動中心,高雄市鳳山區興隆街42號
公共充電站,免費,隆升機車行,高雄市鳳山區文化西路162號
公共充電站,投幣式,青年市一期,高雄市鳳山區文中街260巷1號
公共充電站,投幣式,緯城大三園大樓,高雄市鳳山區杭州西街108號
公共充電站,投幣式,陽光西班牙大樓,高雄市鳳山區和德街59號
公共充電站,投幣式,陽光西班牙大樓,高雄市鳳山區和德街31號
公共充電站,免費,茄萣區公所,高雄市茄萣區濱海路四段27號
公共充電站,免費,左營高中,高雄市左營區81344海功路55號(機車停車場)
公共充電站,免費,漢神巨蛋購物廣場,高雄市左營區博愛二路777號(MB1E區機車停車場)
公共充電站,免費,國軍左營醫院,高雄市左營區軍校路553號(機車停車場)
公共充電站,投幣式,京城之星大樓,高雄市左營區明華一路283號
公共充電站,投幣式,京城之星大樓,高雄市左營區明華一路275號
公共充電站,投幣式,喜悅大樓,高雄市左營區文學路675號
公共充電站,投幣式,喜悅大樓,高雄市左營區文學路681號
公共充電站,投幣式,文川大廈,高雄市左營區文川路46號
公共充電站,投幣式,快樂弘揚大樓,高雄市左營區重仁路251號
公共充電站,投幣式,本然大樓,高雄市鼓山區南屏路561號
公共充電站,免費,私立樹德科技大學,高雄市燕巢區橫山路59號(機車停車場)
公共充電站,免費,私立義守大學(燕巢校區),高雄市燕巢區角宿里義大路8號(地下一樓機車停車場)
公共充電站,免費,私立和春技術學院,高雄市大寮區琉球村農場路1-10號(守衛室旁)
公共充電站,免費,中山高級工商職業學校,高雄市大寮區正氣路79號(大門右側一樓停車場)
公共充電站,免費,旭冬車業,高雄市大寮區鳳林三路205號
公共充電站,免費,好市多購物中心,高雄市鼓山區大順一路111號(機車停車場)
公共充電站,免費,國立中山大學,高雄市鼓山區蓮海路70號(海科館停車場)
公共充電站,免費,大榮高級中學,高雄市鼓山區大榮街1號(警衛室後方機車停車棚)
公共充電站,免費,中山大學,高雄市鼓山區蓮海路70號
公共充電站,投幣式,美河峰大樓,高雄市鼓山區美術南二路12號
公共充電站,投幣式,橘園大樓,高雄市鼓山區美術東八街101號
公共充電站,投幣式,米羅大廈,高雄市鼓山區美術東八街82號
公共充電站,投幣式,米羅大廈,高雄市鼓山區美術東八街100號
公共充電站,投幣式,皇苑人文首馥大樓,高雄市鼓山區神農路199號
公共充電站,投幣式,采荷天大樓,高雄市鼓山區文忠路57號
公共充電站,免費,仁武煙度檢測站,高雄市仁武區仁安二巷102號
公共充電站,免費,力達車業-橋頭店,高雄市橋頭區橋頭路5號
公共充電站,免費,私立正修科技大學,高雄市鳥松區澄清路840號(機車停車場)
公共充電站,免費,高雄市政府環保局澄清辦公室,高雄市鳥松區澄清路834號(機車停車棚)
公共充電站,免費,仁美里活動中心,高雄市鳥松區美山路228號
公共充電站,免費,鳥松區公所,高雄市鳥松區中正路98號
公共充電站,投幣式,澄峰大廈,高雄市鳥松區明湖路1號
公共充電站,免費,好市多購物中心-中華店,高雄市前鎮區中華五路656號(機車停車場)
公共充電站,免費,統一夢時代購物中心,高雄市前鎮區中華五路789號(B1MC07區機車停車場)
公共充電站,免費,瑞祥高級中學,高雄市前鎮區班超路63號(警衛室後方機車停車棚)
公共充電站,免費,躍揚車業行三多分店,高雄市前鎮區三多二路367號
公共充電站,免費,駿揚電動車,高雄市前鎮區武營路195號
公共充電站,免費,本欣電動車,高雄市前鎮區崗山西街279號
公共充電站,免費,前鎮區公所,高雄市前鎮區康定路151號2樓
公共充電站,投幣式,美的皇家大樓,高雄市前鎮區林森三路156號
公共充電站,投幣式,太普moma大樓,高雄市前鎮區管仲南路362號
公共充電站,免費,勝翔車業,高雄市岡山區岡山路192號
公共充電站,免費,義贊電動車,高雄市岡山區岡山路208號
公共充電站,免費,私立義守大學(校本部),高雄市大樹區學城路一段1號(汽車停車場警衛室旁)
公共充電站,免費,耿昌機車行,高雄市新興區青年一路458號
公共充電站,免費,亨旺機車行-(公共免費),高雄市三民區大豐二路362號
公共充電站,免費,富翔機車有限公司(原富鼎),高雄市前鎮區瑞祥街138號
公共充電站,投幣式,京城CBD大樓,高雄市中華一路820號(地下停車場)
公共充電站,免費,大東藝術中心,高雄市鳳山區光遠路161號
公共充電站,投幣式,鎮北里活動中心,高雄市鳳山區鎮北街102號
公共充電站,投幣式,緯城世界觀大樓,高雄市鳳山區西湖街107號
公共充電站,投幣式,東方瑞士大樓,高雄市三民區大豐一路111-3號
公共充電站,投幣式,岡山鐵馬,高雄市岡山區平和路31號
公共充電站,投幣式,竺輪車業,高雄市岡山區中山北路98號
公共充電站,投幣式,三元機車行,高雄市大寮區義和村鳳屏二路294號
公共充電站,投幣式,高雄師範大學,高雄市苓雅區和平一路116號(面對大門左手邊機車停車場)
公共充電站,投幣式,信華車業行,高雄市楠梓區益群路26號
公共充電站,投幣式,義興機車行,高雄市三民區瀋陽街122號
公共充電站,投幣式,國順機車行,高雄市三民區興隆街42-1號
公共充電站,投幣式,順士輪業有限公司,高雄市新興區林森一路27號
公共充電站,投幣式,誠峰輪業有限公司,高雄市新興區和平一路263號
公共充電站,投幣式,明光機車行,高雄市鼓山區鼓山三路8-24號
公共充電站,投幣式,富貴祥發大樓,高雄市鳳山區文衡路269號
公共充電站,投幣式,南成機車行,高雄市苓雅區福安路467號
公共充電站,投幣式,單車休息站,高雄市鹽埕區七賢三路1號
公共充電站,投幣式,登山里里長服務處,高雄市鼓山區鼓山一路87號
公共充電站,投幣式,永盛花園廣場大樓,高雄市岡山區竹圍東街203-1號
公共充電站,投幣式,全陽機車行,高雄市三民區明誠一路372號
公共充電站,投幣式,東晉機車行,高雄市新興區民族二路64號
公共充電站,投幣式,先發機車行,高雄市苓雅區英明路273號
公共充電站,投幣式,高雄師範大學,高雄市苓雅區和平一路116號
公共充電站,投幣式,高雄師範大學,高雄市苓雅區和平一路116號
公共充電站,投幣式,甲駿機車材料行,高雄市前鎮區瑞和街220號
公共充電站,投幣式,上揚機車行,高雄市楠梓區常德路273號
公共充電站,投幣式,竹輪車業,高雄市楠梓區加昌路343號
公共充電站,投幣式,高雄師範大學,高雄市燕巢區深中路62號
公共充電站,投幣式,高雄女子高級中學(不對外開放),高雄市前金區五福三路122號
公共充電站,投幣式,高雄女子高級中學(不對外開放),高雄市前金區五福三路122號
公共充電站,投幣式,高雄師範大學,高雄市燕巢區深中路62號
公共充電站,投幣式,泛亞車業,高雄市鼓山區華榮路585號
公共充電站,投幣式,湖山春曉社區,高雄市鳳山區八德路二段147號
公共充電站,投幣式,新大機車行,高雄市三民區鼎中路52號
公共充電站,免費,高雄第一科技大學,高雄市楠梓區卓越路2號
公共充電站,投幣式,皇苑逸品苑,高雄市鼓山區美術北三路100號
