十碼章,醫院名稱,縣市別,行政區,郵遞區號,地址（里鄰）,地址,聯絡電話,座標緯度,座標經度,備註
3502051348,曾繁英診所,高雄市,三民區,807,,高雄市三民區自立一路267號,07-3111048,22.64249,120.296143,null
3502051366,黃旭瑞耳鼻喉科診所,高雄市,三民區,807,,高雄市三民區大昌二路482號1樓,07-3802334,22.650932,120.331183,null
3502051375,蕭瑞榮小兒科診所,高雄市,三民區,807,,高雄市三民區建工路533號,07-3867121,22.647856,120.315414,null
3502051428,張倉銓診所,高雄市,三民區,807,,高雄市三民區大順二路183號,07-3808538,22.6429323,120.3264439,null
3502051544,莊永昌診所,高雄市,三民區,807,,高雄市三民區建工路332號,07-3922289,22.653182,120.3307196,null
3502051599,徐樹本小兒科診所,高雄市,三民區,807,,高雄市三民區建興路373號,07-3867833,22.646792,120.32215,null
3502051642,羅韻珊小兒科診所,高雄市,三民區,807,,高雄市三民區大豐二路110-1號1樓,07-3870430,22.645734,120.32911,null
3502051839,余建興耳鼻喉科診所,高雄市,三民區,807,,高雄市三民區建興路183號1樓,07-3952899,22.643608,120.326045,null
3502051955,胡榿小兒科診所,高雄市,三民區,807,,高雄市三民區九如一路820號,07-3827356,22.640161,120.31949,null
3502052121,王俊仁耳鼻喉科診所,高雄市,三民區,807,,高雄市三民區陽明路416號,07-3959039,22.646237,120.34295,null
3502052130,振祐診所,高雄市,三民區,807,,高雄市三民區大豐二路154號,07-3805909,22.645451,120.330757,null
3502052149,王婦產科診所,高雄市,三民區,807,,高雄市三民區九如一路440號,07-3873979,22.6389678,120.3300926,null
3502052274,醫鼎診所,高雄市,三民區,807,,高雄市三民區裕誠路1０1號一樓二樓,07-3506789,22.663776,120.313519,null
3502052292,王漢卿小兒科診所,高雄市,三民區,807,,高雄市三民區陽明路132號,07-3877918,22.640579,120.341836,null
3502052345,儲昭仁耳鼻喉科診所,高雄市,三民區,807,,高雄市三民區九如一路854號,07-3890470,22.640239,120.318738,null
3502052498,范雅修小兒科診所,高雄市,三民區,807,,高雄市三民區平等路163號,07-3876366,22.64219,120.320831,null
3502052694,育明診所,高雄市,三民區,807,,高雄市三民區民族一路537號,07-3478461,22.666021,120.31634,null
3502052729,開元診所,高雄市,三民區,807,,高雄市三民區陽明路21號,07-3873595,22.6376441,120.3409405,null
3502052756,蔡仁正診所,高雄市,三民區,807,,高雄市三民區天祥一路200號,07-3597493,22.6679807,120.3183334,null
3502053904,許聰騰診所,高雄市,三民區,807,,高雄市三民區大昌二路100號,07-3981023,22.6429636,120.3323267,null
3502054125,張殷彰診所,高雄市,三民區,807,,高雄市三民區建工路531號,07-3867121,22.647856,120.315414,null
3502054250,黃學武家庭醫學科診所,高雄市,三民區,807,,高雄市三民區大昌二路23號,07-3815668,22.6392785,120.3321484,null
3502054465,謝明容耳鼻喉科診所,高雄市,三民區,807,,高雄市三民區大昌二路142號1樓,07-3973999,22.644204,120.332256,null
3502054527,黃志維耳鼻喉科診所,高雄市,三民區,807,,高雄市三民區建工路608號,07-3947605,22.649477,120.323138,null
3502054616,桔生診所,高雄市,三民區,807,,高雄市三民區裕誠路109號,07-3454838,22.6636776,120.3133183,null
3502054652,高鳳診所,高雄市,三民區,807,,高雄市三民區灣中街328號一樓,07-3865481,22.649884,120.317863,null
3502054698,德恩內科診所,高雄市,三民區,807,,高雄市三民區民族一路390號,07-3958282,22.6527341,120.3154544,null
3502054929,承安耳鼻喉科診所,高雄市,三民區,807,,高雄市三民區力行路250號1樓,07-3160789,22.6380488,120.2866675,null
3502055024,蔡智禮診所,高雄市,三民區,807,,高雄市三民區北平一街132號,07-3225728,22.650157,120.305108,null
3502055211,明陽診所,高雄市,三民區,807,,高雄市三民區陽明路65號,07-3963488,22.638838,120.341185,null
3502055275,明榮診所,高雄市,三民區,807,,高雄市三民區熱河一街370號1-2樓,07-3222875,22.644009,120.305858,null
3502055293,元成診所,高雄市,三民區,807,,高雄市三民區陽明路81號,07-3903808,22.639694,120.341262,null
3502055364,晶品診所,高雄市,三民區,807,,高雄市三民區十全一路223號1樓,07-3222517,22.644848,120.307277,null
3502055389,禾泰診所,高雄市,三民區,807,,高雄市三民區陽明路68號,07-3903812,22.6395147,120.3415575,null
3502055499,偉倫小兒科診所,高雄市,三民區,807,,高雄市三民區鼎山街256號1樓,07-3800333,22.6599543,120.321977,null
3502060070,瑞益內兒科診所,高雄市,新興區,800,,高雄市新興區復興二路107號,07-2312901,22.622849,120.309146,null
3502060150,葉英鏘診所,高雄市,新興區,800,,高雄市新興區洛陽街1號,07-2387871,22.632746,120.309078,null
3502060534,紀耳鼻喉科診所,高雄市,新興區,800,,高雄市新興區林森一路154-1號,07-2719087,22.629766,120.30468,null
3502060632,展華內兒科診所,高雄市,新興區,800,,高雄市新興區八德一路182號,07-2386222,22.635708,120.308704,null
3502061139,毛重富耳鼻喉科診所,高雄市,新興區,800,,高雄市新興區復興一路107-1號,07-2350168,22.6328768,120.3060125,null
3502061291,謝德利診所,高雄市,新興區,800,,高雄市新興區林森一路158號,07-2413308,22.630029,120.304775,null
3502062976,家佳診所,高雄市,新興區,800,,高雄市新興區和平一路193號,07-2234383,22.630779,120.317574,null
3502063035,蔡瑞聲診所,高雄市,新興區,800,,高雄市新興區中正三路六十三號一樓及夾層,07-2413388,22.63077,120.30776,null
3502063062,增田診所,高雄市,新興區,800,,高雄市新興區八德一路一五五至一五七號一樓,07-2363128,22.635565,120.308054,null
3502063115,健和診所,高雄市,新興區,800,,高雄市新興區青年一路278號一至四樓,07-2513388,22.6222693,120.3089889,null
3502063259,偉峰診所,高雄市,新興區,800,,高雄市新興區林森一路126號1樓,07-2820396,22.628484,120.304599,null
3502070834,大明診所,高雄市,前金區,801,,高雄市前金區新田路220號一樓,07-2413103,22.6210211,120.2995935,null
3502072258,宏祐診所,高雄市,前金區,801,,高雄市前金區中正四路124號,07-2856777,22.630159,120.297468,null
3502072267,嘉醫診所,高雄市,前金區,801,,高雄市前金區中華三路86號,07-2411668,22.6279634,120.2966854,null
3502072589,德和診所,高雄市,前金區,801,,高雄市前金區自強一路18號一樓,07-2515106,22.629415,120.2938669,null
3502080011,五塊厝診所,高雄市,苓雅區,802,,高雄市苓雅區三多一路139號,07-7614545,22.621457,120.328074,null
3502080027,林文樹小兒科內科診所,高雄市,苓雅區,802,,高雄市苓雅區武慶三路89號,07-7611286,22.621531,120.331539,null
3502080036,許耳鼻喉科診所,高雄市,苓雅區,802,,高雄市苓雅區復興二路71號,07-3340225,22.621512,120.309669,null
3502080214,安田婦產科診所,高雄市,苓雅區,802,,高雄市苓雅區三多二路353號,07-7255167,22.618275,120.31808,null
3502080670,吳國松心臟科診所,高雄市,苓雅區,802,,高雄市苓雅區三多二路283號,07-7614892,22.618813,120.319967,null
3502080732,許桂庭外科診所,高雄市,苓雅區,802,,高雄市苓雅區福德二路47號(1樓),07-7222634,22.631444,120.327866,null
3502080787,羅吉雄內外科診所,高雄市,苓雅區,802,,高雄市苓雅區興中一路259號,07-3348118,22.617464,120.310372,null
3502080894,林國坤診所,高雄市,苓雅區,802,,高雄市苓雅區建國一路115-4號,07-7225391,22.63152,120.332712,null
3502080929,徐獨立診所,高雄市,苓雅區,802,,高雄市苓雅區武慶三路144號,07-7133284,22.621475,120.331814,null
3502081499,陳清裕小兒專科診所,高雄市,苓雅區,802,,高雄市苓雅區三多一路327號,07-7517221,22.6216757,120.3286565,null
3502081551,蔡小兒科診所,高雄市,苓雅區,802,,高雄市苓雅區林泉街19號,07-7238382,22.62341,120.319766,null
3502081631,柯武鎮診所,高雄市,苓雅區,802,,高雄市苓雅區福壽街193號,07-7131840,22.626418,120.32637,null
3502081659,泰順聯合診所,高雄市,苓雅區,802,,高雄市苓雅區光華一路148-95號,07-2241595,22.626181,120.314976,null
3502081793,健維診所,高雄市,苓雅區,802,,高雄市苓雅區福建街25號 .永富街4號 . 6號,07-3344637,22.6188885,120.3166748,null
3502081882,小貝貝小兒科診所,高雄市,苓雅區,802,,高雄市苓雅區光華一路25號,07-3332555,22.618911,120.317351,null
3502081971,惠霖診所,高雄市,苓雅區,802,,高雄市苓雅區建國一路111號一樓,07-7155907,22.631123,120.33399,null
3502081980,楊朝欽內科診所,高雄市,苓雅區,802,,高雄市苓雅區三多三路238號,07-3349010,22.614656,120.306037,null
3502082209,劉永豐診所,高雄市,苓雅區,802,,高雄市苓雅區建國一路15之1號,07-7492636,22.628867,120.340533,null
3502083395,邱靖媛小兒專科診所,高雄市,苓雅區,802,,高雄市苓雅區大順三路172號,07-7215153,22.633124,120.326067,null
3502083546,童春診所,高雄市,苓雅區,802,,高雄市苓雅區武慶三路98號,07-7210983,22.62047,120.331852,null
3502083626,吳玉衡小兒科,高雄市,苓雅區,802,,高雄市苓雅區青年一路1-17號一樓,07-7234526,22.6244686,120.3158538,null
3502083822,聖安診所,高雄市,苓雅區,802,,高雄市苓雅區大順三路186號,07-7277097,22.633411,120.326176,null
3502083902,同慶診所,高雄市,苓雅區,802,,高雄市苓雅區同慶路78號,07-2260957,22.627647,120.32104,null
3502083911,小太陽診所,高雄市,苓雅區,802,,高雄市苓雅區和平一路150號,07-2267753,22.627617,120.3191419,null
3502084150,一誠診所,高雄市,苓雅區,802,,高雄市苓雅區建國一路115之5號,07-7511156,22.631533,120.332671,null
3502084169,顏小兒科診所,高雄市,苓雅區,802,,高雄市苓雅區輔仁路148號1樓,07-7221409,22.631597,120.333839,null
3502084187,吳三江內科診所,高雄市,苓雅區,802,,高雄市苓雅區憲政路240號,07-2222088,22.6367,120.321586,null
3502084230,信君耳鼻喉科診所,高雄市,苓雅區,802,,高雄市苓雅區武廟路30號,07-7168385,22.630064,120.332219,null
3502084445,善美診所,高雄市,苓雅區,802,,高雄市苓雅區中華四路120號(1~3樓),07-3336030,22.614665,120.301801,null
3502084472,黃武雄診所 ,高雄市,苓雅區,802,,高雄市苓雅區建國一路286號,07-7275889,22.633049,120.326288,null
3502090041,謝麗煌小兒科內科診所,高雄市,前鎮區,806,,高雄市前鎮區隆興街151號,07-7716485,22.6058089,120.3278002,null
3502090096,邱仲禮診所,高雄市,前鎮區,806,,高雄市前鎮區鎮榮街45號,07-8211363,22.590439,120.311622,null
3502090167,施外科診所,高雄市,前鎮區,806,,高雄市前鎮區瑞隆路363號,07-7114423,22.6053815,120.3312029,null
3502090309,聖青診所,高雄市,前鎮區,806,,高雄市前鎮區明禮里草衙一路112號,07-8310970,22.584226,120.32223,null
3502090470,瑞隆診所,高雄市,前鎮區,806,,高雄市前鎮區瑞東里瑞隆路373號,07-7512099,22.60535,120.331052,null
3502090514,林正宗診所,高雄市,前鎮區,806,,高雄市前鎮區一心一路404號,07-3303615,22.60953,120.314903,null
3502090569,親親診所,高雄市,前鎮區,806,,高雄市前鎮區興東里一心一路402號,07-3391078,22.60951,120.315164,null
3502090621,陳文宏診所,高雄市,前鎮區,806,,高雄市前鎮區瑞隆里瑞隆路319號,07-7131516,22.605458,120.332297,null
3502090685,博聖診所,高雄市,前鎮區,806,,高雄市前鎮區擴建一路59號,07-8218252,22.591301,120.306618,null
3502090836,張朝金家庭醫學科外科診所,高雄市,前鎮區,806,,高雄市前鎮區瑞隆路631號,07-7119401,22.604946,120.325303,null
3502091039,劉志明耳鼻喉科診所,高雄市,前鎮區,806,,高雄市前鎮區一心一路482號,07-3363311,22.609912,120.314236,null
3502091208,吳信宏耳鼻喉小兒科診所,高雄市,前鎮區,806,,高雄市前鎮區三多二路401號,07-3334258,22.617845,120.316638,null
3502091235,龔國祥內科診所,高雄市,前鎮區,806,,高雄市前鎮區復興三路301號,07-5351123,22.612151,120.311029,null
3502091271,楊榮超診所,高雄市,前鎮區,806,,高雄市前鎮區西甲里一心二路133號,07-3382616,22.612089,120.308336,null
3502091324,林慶端診所,高雄市,前鎮區,806,,高雄市前鎮區竹中里和平二路293號,07-7616392,22.615284,120.322384,null
3502097175,永興診所,高雄市,前鎮區,806,,高雄市前鎮區鎮興路222號,07-8157006,22.593013,120.311705,null
3502097237,陳方明診所,高雄市,前鎮區,806,,高雄市前鎮區西山里一心二路59號,07-5374381,22.611402,120.310009,null
3502097291,黃裕峰耳鼻喉科診所,高雄市,前鎮區,806,,高雄市前鎮區保泰路427號1樓,07-7268385,22.604241,120.336134,null
3502097755,永祥診所,高雄市,前鎮區,806,,高雄市前鎮區瑞昌里永豐路110號,07-7515678,22.6064854,120.3335864,null
3502097835,昭哲診所,高雄市,前鎮區,806,,高雄市前鎮區永豐路214號,07-7136366,22.608738,120.333427,null
3502097997,上晴診所,高雄市,前鎮區,806,,高雄市前鎮區瑞北路88號,07-7249449,22.609247,120.33357,null
3502098010,吉泰內科診所,高雄市,前鎮區,806,,高雄市前鎮區保泰路419號,07-7616000,22.6040735,120.3358476,null
3502098092,慶大診所,高雄市,前鎮區,806,,高雄市前鎮區中華五路993號2樓,07-5366226,22.602597,120.305875,null
3502098109,美和診所,高雄市,前鎮區,806,,高雄市前鎮區鎮昌里翠亨北路577號,07-8120053,22.5923598,120.3129618,null
3502098163,蕭基昌耳鼻喉科診所,高雄市,前鎮區,806,,高雄市前鎮區永豐路91號,07-7510098,22.6059361,120.3333494,null
3502098172,慧安診所,高雄市,前鎮區,806,,高雄市前鎮區瑞和街100號,07-7223889,22.606907,120.330104,null
3502098190,宏恩診所,高雄市,前鎮區,806,,高雄市前鎮區正勤路71號1樓,07-5370666,22.603048,120.305572,null
3502098261,維康診所,高雄市,前鎮區,806,,高雄市前鎮區鄭和路45號,07-3345373,22.60748,120.313533,null
3502100079,白鋒釗診所,高雄市,旗津區,805,,高雄市旗津區中洲三路99-1號,07-5718239,22.597753,120.280374,null
3502100097,徐誌忠內科診所,高雄市,旗津區,805,,高雄市旗津區中洲三路775號,07-5710063,22.61192,120.269795,null
3502110146,羅錦泉診所,高雄市,小港區,812,,高雄市小港區平和路105號,07-8314168,22.5655821,120.3331466,null
3502110324,大林蒲診所,高雄市,小港區,812,,高雄市小港區鳳林路113-1號,07-8714668,22.526787,120.345932,null
3502110440,蔡聰慶診所,高雄市,小港區,812,,高雄市小港區孔鳳路571號1樓,07-7914257,22.581189,120.363801,null
3502110593,明義診所,高雄市,小港區,812,,高雄市小港區孔鳳路542號,07-7916959,22.582145,120.358821,null
3502110637,施晉南診所,高雄市,小港區,812,,高雄市小港區平治街1號,07-8021622,22.567621,120.358186,null
3502110646,洪清中兒科診所,高雄市,小港區,812,,高雄市小港區二苓路192號1樓,07-8063773,22.565513,120.349062,null
3502111929,柯芳蓉黃麗瑛小兒科診所,高雄市,小港區,812,,高雄市小港區漢民路716號,07-8053077,22.567544,120.362329,null
3502111938,季仁診所,高雄市,小港區,812,,高雄市小港區宏平路497號一樓,07-8013712,22.569596,120.355031,null
3502111956,蔡坤霖小兒科診所,高雄市,小港區,812,,高雄市小港區二苓里二苓路148號,07-8030816,22.5653739,120.3478971,null
3502112079,小林診所,高雄市,小港區,812,,高雄市小港區鳳林路67號,07-8711285,22.525855,120.346852,null
3502112140,明港診所,高雄市,小港區,812,,高雄市小港區華山路137號,07-8055116,22.5664272,120.3674282,null
3507010025,大欣診所,高雄市,鳳山區,830,,高雄市鳳山區文化路25號1樓,07-7993009,22.633303,120.357879,null
3507010114,文山診所,高雄市,鳳山區,830,,高雄市鳳山區建國路三段157號,07-7107010,22.6369506,120.3535436,null
3507010150,文德診所,高雄市,鳳山區,830,,高雄市鳳山區文衡路301號1-2樓,07-7805189,22.640157,120.353815,null
3507010178,孟昌診所,高雄市,鳳山區,830,,高雄市鳳山區海洋二路39號1樓,07-7650908,22.610568,120.346513,null
3507010249,吳萍建小兒科診所,高雄市,鳳山區,830,,高雄市鳳山區瑞竹里瑞明街90巷8號1樓,07-7191180,22.599576,120.337672,null
3507010285,吳文誌診所,高雄市,鳳山區,830,,高雄市鳳山區鳳林路258號,07-7820958,22.622178,120.376986,null
3507010454,文山長慶小兒科診所,高雄市,鳳山區,830,,高雄市鳳山區文龍東路738號,07-7774098,22.64282,120.353965,null
3507010472,詠馨診所,高雄市,鳳山區,830,,高雄市鳳山區五福一路2號,07-8119789,22.591818,120.326784,null
3507010481,黃柏仁診所,高雄市,鳳山區,830,,高雄市鳳山區文豐街36巷3號1樓,07-7132835,22.597636,120.3365044,null
3507010516,杏康診所,高雄市,鳳山區,830,,高雄市鳳山區文化路47-1號,07-7407580,22.633584,120.356322,null
3507010525,鴻仁健康診所,高雄市,鳳山區,830,,高雄市鳳山區青年路二段148號1-2樓,07-7408333,22.635656,120.350513,null
3507010614,佑安耳鼻喉科診所,高雄市,鳳山區,830,,高雄市鳳山區中山東路164號1樓,07-7030333,22.6258199,120.3748169,null
3507010641,九大五甲診所,高雄市,鳳山區,830,,高雄市鳳山區五甲二路348號1樓,07-7276789,22.599554,120.337679,null
3507010650,高丹榕診所,高雄市,鳳山區,830,,高雄市鳳山區光復路二段223號1樓,07-7475556,22.6292481,120.3446634,null
3507010678,聖壹診所,高雄市,鳳山區,830,,高雄市鳳山區瑞興路482號,07-7014755,22.63105418,120.3718075,null
3507010696,鳳山德安診所,高雄市,鳳山區,830,,高雄市鳳山區瑞興路416號1F,07-7022957,22.6310114,120.3697575,null
3507010703,牛伯伯兒科診所,高雄市,鳳山區,830,,高雄市鳳山區建國路三段338號,07-7808123,22.638167,120.350096,null
3507010712,陳彥伸耳鼻喉科診所,高雄市,鳳山區,830,,高雄市鳳山區五甲二路346號1樓,07-7277110,22.5995753,120.3377146,null
3507010767,青聯診所,高雄市,鳳山區,830,,高雄市鳳山區青年路二段358-1號1-2樓,07-7677002,22.641595,120.351415,null
3507010794,誠愛診所,高雄市,鳳山區,830,,高雄市鳳山區誠義里誠愛路1號,07-7556028,22.608811,120.358804,null
3507010801,欣診所,高雄市,鳳山區,830,,高雄市鳳山區誠義路31號1-2樓(誠義里),07-7537532,22.608776,120.36054,null
3507010829,博新診所,高雄市,鳳山區,830,,高雄市鳳山區博愛路19號1樓及21號1樓,07-7019595,22.62632,120.374407,null
3507020021,岡山家福耳鼻喉科診所,高雄市,岡山區,820,,高雄市岡山區岡山路312號1樓,07-6219595,22.793678,120.295956,null
3507030018,大元診所,高雄市,旗山區,842,,高雄市旗山區大同街13-1號,07-6612100,22.883458,120.4819841,null
3507030036,大政診所,高雄市,旗山區,842,,高雄市旗山區延平一路337號,07-6622588,22.892398,120.483648,null
3507030072,嘉惠診所,高雄市,旗山區,842,,高雄市旗山區大同街42號,07-6621900,22.883369,120.484753,null
3507050083,聯合王婦產科診所,高雄市,林園區,832,,高雄市林園區沿海路三段148號,07-6425968,22.5001061,120.3888287,null
3507050092,幸福婦產科診所,高雄市,林園區,832,,高雄市林園區林園北路355號,07-6418383,22.5101437,120.3945712,null
3507060043,大鋐診所,高雄市,大寮區,831,,高雄市大寮區中庄里鳳屏一路472號,07-7038188,22.636114,120.392853,null
3507060052,詠新耳鼻喉科診所,高雄市,大寮區,831,,高雄市大寮區鳳屏一路690號1樓,07-7032000,22.638205,120.397164,null
3507060061,周俊仁診所,高雄市,大寮區,831,,高雄市大寮區鳳林三路300號,07-7861168,22.601199,120.398277,null
3507060070,喉康診所,高雄市,大寮區,831,,高雄市大寮區中庄里仁愛路82號1樓,07-7017100,22.606875,120.396157,null
3507080036,蔡定洲耳鼻喉科診所,高雄市,仁武區,814,,高雄市仁武區八德西路2300號,07-3756161,22.687989,120.337475,null
3507080063,仁武好心診所,高雄市,仁武區,814,,高雄市仁武區中正路301號1樓,07-3719895,22.702844,120.35307,null
3507080090,仁雄診所,高雄市,仁武區,814,,高雄市仁武區仁雄路15-1號1樓,07-3741298,22.680976,120.3540854,null
3507080161,大林診所,高雄市,仁武區,814,,高雄市仁武區仁雄路9號1樓,07-3718528,22.681342,120.3547538,null
3507090050,微恩診所,高雄市,大社區,815,,高雄市大社區中山路195號,07-3530781,22.732152,120.347034,null
3507100015,豐穎診所,高雄市,鳥松區,833,,高雄市鳥松區鳥松里中正路355-2號,07-7316996,22.6627379,120.3634124,null
3507110020,張民傑診所,高雄市,橋頭區,825,,高雄市橋頭區新興路95號,07-6118991,22.7587668,120.3073494,null
3507140028,阿蓮康健診所,高雄市,阿蓮區,822,,高雄市阿蓮區中正路383號,07-6317288,22.880538,120.33298,null
3507170035,華榮診所,高雄市,茄萣區,852,,高雄市茄萣區仁愛路三段2巷75 號1樓,07-6909097,22.899939,120.188374,null
3507200010,梓官鴻裕診所,高雄市,梓官區,826,,高雄市梓官區中崙路265號,07-6108058,22.7610214,120.2689468,null
3507200038,嘉田診所,高雄市,梓官區,826,,高雄市梓官區梓義里進學路124號1樓,07-6103378,22.7343588,120.252544,null
3507240014,林重慶診所,高雄市,內門區,845,,高雄市內門區中正路160巷50號1樓,07-6671883,22.91705,120.457627,null
3507290283,南加大耳鼻喉科診所,高雄市,鼓山區,804,,高雄市鼓山區明華路303號,07-5525711,22.663334,120.30035,null
3507290318,朱光興診所,高雄市,鼓山區,804,,高雄市鼓山區文信路256號,07-5227188,22.664737,120.299177,null
3507290336,為好診所,高雄市,鼓山區,804,,高雄市鼓山區鼓山區九如四路957號,07-5215489,22.6535754,120.2751215,null
3507290425,新聖明診所,高雄市,鼓山區,804,,高雄市鼓山區鼓山三路52號,07-5313755,22.6550384,120.2754984,null
3507290434,長佑診所,高雄市,鼓山區,804,,高雄市鼓山區裕誠路1580號,07-5532356,22.663524,120.294168,null
3507290443,劉水壽診所,高雄市,鼓山區,804,,高雄市鼓山區鼓山二路166之7號,07-5211891,22.636793,120.2810127,null
3507290505,倫詠診所 ,高雄市,鼓山區,804,,高雄市鼓山區明倫路458號1樓 ,07-5501193,22.664139,120.297929,null
3507290578,康群耳鼻喉科診所,高雄市,鼓山區,804,,高雄市鼓山區美術東二路110號1樓,07-5549191,22.653732,120.288353,null
3507290596,壬禾診所,高雄市,鼓山區,804,,高雄市鼓山區美術南三路82號,07-5557300,22.653335,120.288937,null
3507290676,潮代診所,高雄市,鼓山區,804,,高雄市鼓山區文信路258號1樓,07-5531313,22.6646407,120.2990995,null
3507300097,彌馨診所,高雄市,左營區,813,,高雄市左營區至聖路288號1-2樓,07-8629880,22.659625,120.3040828,null
3507300186,賴孟德診所,高雄市,左營區,813,,高雄市左營區孟子路608號,07-3439801,22.6777207,120.3040686,null
3507300604,詠康診所,高雄市,左營區,813,,高雄市左營區後昌路603號1樓,07-3637880,22.7077817,120.2993636,null
3507300819,振亮診所,高雄市,左營區,813,,高雄市左營區左營大路156號1樓,07-5879799,22.683729,120.289196,null
3507300908,文愛診所,高雄市,左營區,813,,高雄市左營區重愛路303號,07-3430123,22.686572,120.314154,null
3507300935,四季康和診所,高雄市,左營區,813,,高雄市左營區華夏路921號1樓,07-3432349,22.680326,120.30391,null
3507300953,晴美診所,高雄市,左營區,813,,高雄市左營區自由三路337號,07-3504992,22.67443,120.311911,null
3507300999,育濰小兒科診所,高雄市,左營區,813,,高雄市左營區重上街168號1樓,07-3414005,22.6761434,120.3047115,null
3507301129,豐田診所,高雄市,左營區,813,,高雄市左營區自由三路309號1樓,07-5506000,22.663272,120.308106,null
3507301147,大安診所,高雄市,左營區,813,,高雄市左營區自由三路376號,07-3507058,22.674732,120.312233,null
3507301192,中馨診所,高雄市,左營區,813,,高雄市左營區文川路128號,07-3488226,22.682871,120.310547,null
